TIPO;NÚMERO;NOMBRE;DEPENDENCIA;FECHA CIERRE;PERFIL;ENLACE
O;2017-1362;Sistema de Prácticas y Pasantías SPOPA;Dirección Académica;25/05/2017;Ingeniería de Sistemas;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1362.pdf
GA;2017-1360;Área Curricular de ingeniería Eléctrica y Electrónica.;Facultad de Ingeniería - Departamento de Ingeniería Eléctrica y Electrónica;25/05/2017;Ingeniería eléctrica, Ingeniería electrónica, Ingeniería industrial;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1360.pdf
GA;2017-1355;Reacreditación Artes Plásticas;Facultad de Artes;24/05/2017;Artes Plásticas;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1355.pdf
I;2017-1323;pedagogía y paz;Facultad de Derecho, Ciencias Políticas y Sociales - Departamento de Derecho;26/05/2017;derecho;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1323.pdf
A;2017-1318;UNIVERSIDAD NACIONAL PARA COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACION DE LA EDUCACION SUPE;Nivel Nacional;24/05/2017;Matemáticas, Física, Ingenierías;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1318.pdf
A;2017-1316;UNIVERSIDAD NACIONAL PARA COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACION DE LA EDUCACION SUPE;Nivel Nacional;24/05/2017;Español y Filología clásica, Estudios Literarios, Lingüística;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1316.pdf
A;2017-1314;UNIVERSIDAD NACIONAL PARA COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACION DE LA EDUCACION SUPE;Nivel Nacional;24/05/2017;diseño industrial, diseño gráfico, arquitectura;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1314.pdf
A;2017-1312;UNIVERSIDAD NACIONAL PARA COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACION DE LA EDUCACION SUPE;Nivel Nacional;24/05/2017;Psicología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1312.pdf
A;2017-1310;UNIVERSIDAD NACIONAL PARA COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACION DE LA EDUCACION SUPE;Nivel Nacional;24/05/2017;Biología, Química;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1310.pdf
A;2017-1308;UNIVERSIDAD NACIONAL DE COLOMBIA, EL PEAMA COMO ESTRATEGIA DE REGIONALIZACIÓN DE LA EDUCACIÓN SUPERI;Nivel Nacional;24/05/2017;geografía, antropología, filosofía, historia, trabajo social;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1308.pdf
A;2017-1286;ACOMPAÑAMIENTO ACADÉMICO PARA FAVORECER PERMANENCIA DE ESTUDIANTES UNC SEDE TUMACO- VIC. ACÁDEMICA;Sede Tumaco;31/05/2017;Matemáticas;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1286.pdf
I;2017-1212;OBSERVATORIO DE POLÍTICA CRIMINAL EN COLOMBIA 2016: NUEVOS RETOS DEL SISTEMA PENAL COLOMBIANO;Facultad de Derecho, Ciencias Políticas y Sociales - Departamento de Derecho;24/05/2017;Derecho, Ciencias Políticas;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1212.pdf
